#{"CCD_temperature": "-88", "FELP": "1", "FELRR": "0.75", "FEL_lambda": "10", "FEL_pulses": 16, "NIRP": "137.505", "NIR_lambda": "764", "Sample_Temp": "17", "addenda": [-16598.725, "FEL_power_sweep"], "bg_file_name": "testBG19", "center_lambda": 751.5, "dark_region": null, "exposure": 20.0, "gain": 125, "grating": 2, "series": "137.505", "shot_normalized": true, "slits": "40", "subtrahenda": ["testBG"], "y_max": 80, "y_min": 25}
#

Wavelength,Signal
nm,arb. u.
nan,nan
nan,nan
1.664343,1.766016
1.664309,1.141016
1.664276,-0.608984
1.664243,2.266016
1.664209,2.641016
1.664176,0.953516
1.664143,1.203516
1.664109,3.328516
1.664076,1.828516
1.664042,1.516016
1.664009,1.391016
1.663976,4.391016
1.663942,4.078516
1.663909,2.516016
1.663876,1.266016
1.663842,3.078516
1.663809,0.891016
1.663775,-0.483984
1.663742,5.453516
1.663709,3.203516
1.663675,3.141016
1.663642,1.203516
1.663609,0.578516
1.663575,0.453516
1.663542,1.828516
1.663509,0.766016
1.663475,3.078516
1.663442,1.391016
1.663409,3.078516
1.663375,0.266016
1.663342,1.953516
1.663308,1.391016
1.663275,3.141016
1.663242,5.203516
1.663208,3.266016
1.663175,2.328516
1.663142,6.266016
1.663108,1.016016
1.663075,2.016016
1.663042,2.266016
1.663009,2.391016
1.662975,0.953516
1.662942,2.391016
1.662909,4.391016
1.662875,5.078516
1.662842,-1.483984
1.662809,3.766016
1.662775,-2.421484
1.662742,4.703516
1.662709,2.703516
1.662675,3.391016
1.662642,4.453516
1.662609,2.203516
1.662575,1.953516
1.662542,3.328516
1.662509,5.641016
1.662476,2.078516
1.662442,1.328516
1.662409,-0.296484
1.662376,2.016016
1.662342,0.828516
1.662309,4.953516
1.662276,-0.296484
1.662243,2.266016
1.662209,1.266016
1.662176,-3.046484
1.662143,2.828516
1.662109,1.703516
1.662076,1.203516
1.662043,3.266016
1.662010,4.828516
1.661976,2.953516
1.661943,3.078516
1.661910,1.953516
1.661877,3.953516
1.661843,1.141016
1.661810,3.141016
1.661777,0.016016
1.661743,2.016016
1.661710,6.016016
1.661677,1.703516
1.661644,2.766016
1.661610,1.828516
1.661577,1.516016
1.661544,1.266016
1.661511,3.078516
1.661477,1.703516
1.661444,-1.421484
1.661411,1.891016
1.661378,3.328516
1.661345,3.016016
1.661311,-0.233984
1.661278,3.516016
1.661245,3.141016
1.661212,3.016016
1.661178,2.016016
1.661145,0.453516
1.661112,3.141016
1.661079,4.578516
1.661045,1.891016
1.661012,1.578516
1.660979,4.016016
1.660946,4.953516
1.660913,5.641016
1.660879,-0.796484
1.660846,4.578516
1.660813,1.453516
1.660780,4.766016
1.660747,2.953516
1.660713,3.203516
1.660680,-0.483984
1.660647,3.766016
1.660614,2.016016
1.660581,6.078516
1.660547,2.578516
1.660514,1.141016
1.660481,4.016016
1.660448,2.891016
1.660415,2.453516
1.660381,4.203516
1.660348,3.266016
1.660315,2.641016
1.660282,5.328516
1.660249,5.203516
1.660216,4.703516
1.660182,4.203516
1.660149,3.891016
1.660116,4.391016
1.660083,4.203516
1.660050,4.703516
1.660017,1.141016
1.659983,4.016016
1.659950,4.203516
1.659917,4.266016
1.659884,1.766016
1.659851,4.328516
1.659818,4.453516
1.659784,4.828516
1.659751,3.141016
1.659718,6.078516
1.659685,0.828516
1.659652,5.703516
