#half-wave plate set to 45
#{"CCD_temperature": "-81", "FELP": "1.3", "FELRR": "0.75", "FEL_lambda": "610", "NIRP": "679", "NIR_lambda": "797.1", "addenda": [0, "checkingPolarization36"], "bg_file_name": "checkingPolarizationBG23", "center_lambda": 769.0, "dark_region": null, "exposure": 40.0, "gain": 135, "grating": 2, "series": "", "slits": "50", "subtrahenda": ["checkingPolarizationBG23"], "y_max": 400, "y_min": 0}
#Wavelength,Signal
#nm,arb. u.
762.197137,86.000000
762.211973,123.000000
762.226808,244.000000
762.241644,487.000000
762.256479,574.000000
762.271314,305.000000
762.286148,47.000000
762.300983,71.000000
762.315817,-35.000000
762.330652,55.000000
762.345485,-2.000000
762.360319,-2.000000
762.375153,49.000000
762.389986,17.000000
762.404819,87.000000
762.419652,42.000000
762.434485,-25.000000
762.449317,10.000000
762.464150,44.000000
762.478982,87.000000
762.493814,48.000000
762.508646,-6.000000
762.523477,45.000000
762.538308,33.000000
762.553140,-12.000000
762.567971,23.000000
762.582801,-48.000000
762.597632,68.000000
762.612462,17.000000
762.627292,24.000000
762.642122,-2.000000
762.656952,12.000000
762.671781,14.000000
762.686611,14.000000
762.701440,-18.000000
762.716269,25.000000
762.731097,57.000000
762.745926,37.000000
762.760754,-38.000000
762.775582,-51.000000
762.790410,60.000000
762.805238,99.000000
762.820065,54.000000
762.834893,-28.000000
762.849720,31.000000
762.864547,48.000000
762.879373,76.000000
762.894200,-12.000000
762.909026,41.000000
762.923852,37.000000
762.938678,79.000000
762.953504,14.000000
762.968329,14.000000
762.983154,16.000000
762.997979,65.000000
763.012804,0.000000
763.027629,-2.000000
763.042453,-57.000000
763.057278,-55.000000
763.072102,-44.000000
763.086926,24.000000
763.101749,-21.000000
763.116573,9.000000
763.131396,4.000000
763.146219,13.000000
763.161042,-17.000000
763.175864,-3.000000
763.190687,45.000000
763.205509,107.000000
763.220331,18.000000
763.235153,-61.000000
763.249975,38.000000
763.264796,107.000000
763.279617,13.000000
763.294438,21.000000
763.309259,14.000000
763.324080,53.000000
763.338900,45.000000
763.353720,37.000000
763.368540,2.000000
763.383360,2.000000
763.398180,6.000000
763.412999,77.000000
763.427818,-34.000000
763.442637,23.000000
763.457456,9.000000
763.472274,-5.000000
763.487093,-102.000000
763.501911,-472.000000
763.516729,-346.000000
763.531547,-71.000000
763.546364,-62.000000
763.561182,83.000000
763.575999,-13.000000
763.590816,-56.000000
763.605633,102.000000
763.620449,29.000000
763.635265,-18.000000
763.650082,3.000000
763.664897,44.000000
763.679713,-34.000000
763.694529,13.000000
763.709344,16.000000
763.724159,59.000000
763.738974,29.000000
763.753789,68.000000
763.768603,-15.000000
763.783418,-5.000000
763.798232,58.000000
763.813046,18.000000
763.827859,31.000000
763.842673,-2.000000
763.857486,36.000000
763.872299,45.000000
763.887112,26.000000
763.901925,-66.000000
763.916737,9.000000
763.931549,-1.000000
763.946362,32.000000
763.961173,6.000000
763.975985,-43.000000
763.990796,-1.000000
764.005608,42.000000
764.020419,22.000000
764.035230,8.000000
764.050040,-26.000000
764.064851,2.000000
764.079661,3.000000
764.094471,-3.000000
764.109281,25.000000
764.124090,9.000000
764.138900,49.000000
764.153709,58.000000
764.168518,-27.000000
764.183327,1.000000
764.198135,53.000000
764.212944,19.000000
764.227752,8.000000
764.242560,-29.000000
764.257368,1.000000
764.272175,34.000000
764.286983,40.000000
764.301790,-26.000000
