#monitor on
#{"CCD_temperature": "-81", "FELP": "1.3", "FELRR": "0.75", "FEL_lambda": "610", "NIRP": "679", "NIR_lambda": "797.1", "addenda": [0, "holeCoupler47"], "bg_file_name": "holeCouplerBG29", "center_lambda": 769.0, "dark_region": null, "exposure": 40.0, "gain": 135, "grating": 2, "series": "", "slits": "50", "subtrahenda": ["holeCouplerBG28"], "y_max": 400, "y_min": 0}
#Wavelength,Signal
#nm,arb. u.
758.452161,-14.000000
758.467047,43.000000
758.481932,39.000000
758.496818,-27.000000
758.511703,-22.000000
758.526588,-31.000000
758.541473,89.000000
758.556358,-31.000000
758.571242,6.000000
758.586126,49.000000
758.601010,39.000000
758.615894,1.000000
758.630778,-7.000000
758.645662,7.000000
758.660545,-7.000000
758.675428,39.000000
758.690311,56.000000
758.705194,14.000000
758.720076,36.000000
758.734958,28.000000
758.749841,49.000000
758.764722,19.000000
758.779604,34.000000
758.794486,-26.000000
758.809367,-2.000000
758.824248,36.000000
758.839129,21.000000
758.854010,-15.000000
758.868890,-4.000000
758.883771,-20.000000
758.898651,-15.000000
758.913531,63.000000
758.928411,32.000000
758.943290,30.000000
758.958170,38.000000
758.973049,22.000000
758.987928,5.000000
759.002806,17.000000
759.017685,44.000000
759.032563,51.000000
759.047442,-8.000000
759.062320,5.000000
759.077197,4.000000
759.092075,-15.000000
759.106952,6.000000
759.121830,93.000000
759.136707,42.000000
759.151583,-33.000000
759.166460,23.000000
759.181336,23.000000
759.196213,49.000000
759.211089,13.000000
759.225964,-10.000000
759.240840,34.000000
759.255716,43.000000
759.270591,1.000000
759.285466,21.000000
759.300341,19.000000
759.315215,28.000000
759.330090,-23.000000
759.344964,-22.000000
759.359838,-5.000000
759.374712,-9.000000
759.389585,-15.000000
759.404459,-19.000000
759.419332,-30.000000
759.434205,-28.000000
759.449078,52.000000
759.463951,81.000000
759.478823,36.000000
759.493696,90.000000
759.508568,59.000000
759.523439,33.000000
759.538311,30.000000
759.553183,35.000000
759.568054,24.000000
759.582925,-1.000000
759.597796,-5.000000
759.612667,13.000000
759.627537,14.000000
759.642407,-11.000000
759.657277,-33.000000
759.672147,7.000000
759.687017,15.000000
759.701886,26.000000
759.716756,40.000000
759.731625,-34.000000
759.746494,20.000000
759.761363,-9.000000
759.776231,47.000000
759.791099,-9.000000
759.805967,14.000000
759.820835,65.000000
759.835703,-2.000000
759.850571,-23.000000
759.865438,-30.000000
759.880305,42.000000
759.895172,38.000000
759.910039,67.000000
759.924905,24.000000
759.939772,42.000000
759.954638,16.000000
759.969504,46.000000
759.984369,22.000000
759.999235,-16.000000
760.014100,13.000000
760.028965,69.000000
760.043830,22.000000
760.058695,17.000000
760.073560,-12.000000
760.088424,12.000000
760.103288,-11.000000
760.118152,16.000000
760.133016,32.000000
760.147879,-23.000000
760.162743,35.000000
760.177606,16.000000
760.192469,23.000000
760.207332,54.000000
760.222194,21.000000
760.237057,31.000000
760.251919,-44.000000
760.266781,-6.000000
760.281642,-10.000000
760.296504,-32.000000
760.311365,12.000000
760.326227,13.000000
760.341087,4.000000
760.355948,35.000000
760.370809,23.000000
760.385669,64.000000
760.400529,-27.000000
760.415389,20.000000
760.430249,-7.000000
760.445109,18.000000
760.459968,-13.000000
760.474827,17.000000
760.489686,26.000000
760.504545,-16.000000
760.519404,86.000000
760.534262,32.000000
760.549120,33.000000
760.563978,42.000000
760.578836,16.000000
760.593694,21.000000
760.608551,-3.000000
760.623408,-12.000000
760.638265,-5.000000
760.653122,28.000000
760.667979,38.000000
760.682835,63.000000
760.697691,-2.000000
760.712547,-4.000000
760.727403,56.000000
760.742259,54.000000
760.757114,12.000000
760.771969,-6.000000
760.786824,54.000000
760.801679,25.000000
760.816534,-28.000000
760.831388,36.000000
760.846242,14.000000
760.861096,59.000000
760.875950,6.000000
760.890804,24.000000
760.905657,45.000000
760.920510,-6.000000
760.935363,-3.000000
760.950216,67.000000
760.965069,31.000000
760.979921,7.000000
760.994773,1.000000
761.009625,60.000000
761.024477,22.000000
761.039329,54.000000
761.054180,55.000000
761.069031,0.000000
761.083882,23.000000
761.098733,1.000000
761.113584,12.000000
761.128434,45.000000
761.143284,-17.000000
761.158134,-13.000000
761.172984,2.000000
761.187834,-9.000000
761.202683,-5.000000
761.217532,94.000000
761.232381,35.000000
761.247230,-2.000000
761.262079,-19.000000
761.276927,-24.000000
761.291775,-12.000000
761.306623,27.000000
761.321471,-27.000000
761.336319,7.000000
761.351166,-21.000000
761.366013,-77.000000
761.380860,29.000000
761.395707,-46.000000
761.410554,12.000000
